Target,Model,MAE,RMSE,MAPE,Accuracy
avg_lead_time,Holt-Winters,5.08934400892723,6.594564404142414,45.686947068267045,54.313052931732955
avg_lead_time,SARIMAX,5.061034219983313,6.75424348681145,42.535851037915066,57.464148962084934
disruption_rate,Holt-Winters,0.15804941634119865,0.1982767783326823,28.65164114155356,71.34835885844643
disruption_rate,SARIMAX,0.1872875507306101,0.22834059921034325,31.564846776167233,68.43515322383277
order_volume,Holt-Winters,2.0290584573491186,2.5617850521966474,33.61666591260404,66.38333408739595
order_volume,SARIMAX,2.2806345826401913,2.7805695683705727,38.42326677149705,61.57673322850295
order_volume,Seasonal Naive,2.6666666666666665,3.3714487489307423,43.776431901431906,56.223568098568094
